acceptability,anon_workerid,exclude2,know,rule,story,exclude3,exclude1,condition,exclude4,feedback
Yes,0,20,0,No,1,0,0,low,It will not make a difference to the fish population., good luck
Yes,1,20,20,Yes,1,5,10,low,It will make the fish population more healthy.,Good work.
Yes,2,20,0,No,1,0,0,low,It will not make a difference to the fish population., 
Yes,3,20,20,Yes,1,7,20,low,It will make the fish population more healthy., GOOD
